Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
89281,"Why People Believe Weird Things: Pseudoscience, Superstition, and Other Confusions of Our Time",Michael Shermer,"Shermer, Michael",Stephen Jay Gould,"=""0805070893""","=""9780805070897""",0,3.86,Holt Paperbacks,Paperback,384,2002,1997,,2024/12/14,to-read,to-read (#171),to-read,,,,0,0
27246166,String Theory: David Foster Wallace on Tennis,David Foster Wallace,"Wallace, David Foster",John Jeremiah Sullivan,"=""1598534807""","=""9781598534801""",0,4.15,Library of America,Hardcover,138,2016,2014,,2024/12/14,to-read,to-read (#170),to-read,,,,0,0
201375022,"Conspiracyland: Trolls, True Believers and the New Information War",Marianna Spring,"Spring, Marianna",,"=""1838955259""","=""9781838955250""",0,3.87,Atlantic Books,Kindle Edition,315,2024,,,2024/12/06,to-read,to-read (#169),to-read,,,,0,0
15835804,Regele alb,György Dragomán,"Dragomán, György",Ildikó Gábos-Foarță,"=""9734610090""","=""9789734610099""",3,3.99,Editura Polirom,Hardcover,324,2008,2005,2024/11/27,2024/09/09,owned,owned (#14),read,,,,1,0
206032553,The Coming Storm: Shortlisted for the Orwell Prize for Political Writing - A Journey into the Heart of the Conspiracy Machine,Gabriel Gatehouse,"Gatehouse, Gabriel",,"=""1473533430""","=""9781473533431""",0,4.09,BBC Digital,Kindle Edition,363,2024,,,2024/11/05,to-read,to-read (#168),to-read,,,,0,0
113794,So You Wanna Be a Rock & Roll Star: How I Machine-Gunned a Roomful Of Record Executives and Other True Tales from a Drummer's Life,Jacob Slichter,"Slichter, Jacob",,"=""0767914716""","=""9780767914710""",0,3.97,Crown,Paperback,304,2005,2004,,2024/10/13,to-read,to-read (#167),to-read,,,,0,0
123025977,Broken Code: Inside Facebook and the Fight to Expose Its Harmful Secrets,Jeff Horwitz,"Horwitz, Jeff",,"=""0593793196""","=""9780593793190""",0,3.87,Random House Large Print,Paperback,528,2023,,,2024/10/07,to-read,to-read (#166),to-read,,,,0,0
34466958,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,"=""150114331X""","=""9781501143311""",0,4.02,Simon & Schuster,Hardcover,335,2018,2018,,2024/10/01,to-read,to-read (#165),to-read,,,,0,0
33383233,Vara în care mama a avut ochii verzi,Tatiana Țîbuleac,"Țîbuleac, Tatiana",,"=""""","=""""",4,4.31,Cartier,Paperback,122,2017,2017,2024/09/12,2024/09/11,owned,owned (#6),read,,,,1,0
26196244,Chasing Water: Elegy of an Olympian,Anthony Ervin,"Ervin, Anthony",Constantine Markides,"=""1617754447""","=""9781617754449""",0,4.07,Edge of Sports,Paperback,320,2016,2016,,2024/09/10,to-read,to-read (#164),to-read,,,,0,0
